id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-432445,2023-01-03,000001,Vente,163500,529,,RUE DE LA LIBERATION,0096,80580,80476,Liercourt,80,,,80476000AC0140,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,668,1.906169,50.036651
2023-432446,2023-01-03,000001,Vente,190500,4,,RUE DU PONT,0300,80480,80632,Pont-de-Metz,80,,,80632000AH0052,,,,,,,,,,,,,0,1,Maison,59,2,S,sols,,,150,2.245885,49.876403
2023-432447,2023-01-05,000001,Vente,365000,23,,IMP LEDIEU,4845,80000,80021,Amiens,80,,,80021000BH0192,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,392,0,S,sols,,,532,2.286845,49.898522
2023-432447,2023-01-05,000001,Vente,365000,23,,IMP LEDIEU,4845,80000,80021,Amiens,80,,,80021000BH0192,,,,,,,,,,,,,0,2,Appartement,51,3,S,sols,,,532,2.286845,49.898522
2023-432448,2023-01-06,000001,Vente,220000,,,LE VILLAGE,B052,80150,80248,Dompierre-sur-Authie,80,,,80248000AB0229,,,,,,,,,,,,,0,,,,,P,prés,,,2352,1.920934,50.302335
2023-432448,2023-01-06,000001,Vente,220000,8,,RUE D EN BAS,0020,80150,80248,Dompierre-sur-Authie,80,,,80248000AB0231,,,,,,,,,,,,,0,1,Maison,84,5,S,sols,,,752,1.92085,50.302208
2023-432448,2023-01-06,000001,Vente,220000,8,,RUE D EN BAS,0020,80150,80248,Dompierre-sur-Authie,80,,,80248000AB0231,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,752,1.92085,50.302208
2023-432448,2023-01-06,000001,Vente,220000,8,,RUE D EN BAS,0020,80150,80248,Dompierre-sur-Authie,80,,,80248000AB0231,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,752,1.92085,50.302208
2023-432448,2023-01-06,000001,Vente,220000,8,,RUE D EN BAS,0020,80150,80248,Dompierre-sur-Authie,80,,,80248000AB0231,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,752,1.92085,50.302208
2023-432449,2023-01-06,000001,Vente,100000,14,,RUE DU ONZE NOVEMBRE,0425,80470,80011,Ailly-sur-Somme,80,,,80011000AH0252,,,,,,,,,,,,,0,1,Maison,23,2,S,sols,,,181,2.191776,49.928817
2023-432449,2023-01-06,000001,Vente,100000,14,A,RUE DU ONZE NOVEMBRE,0425,80470,80011,Ailly-sur-Somme,80,,,80011000AH0253,,,,,,,,,,,,,0,1,Maison,23,2,S,sols,,,174,2.191673,49.928814
2023-432450,2023-01-06,000001,Vente,2000,,,LE VILLAGE,B064,80220,80127,Bouvaincourt-sur-Bresle,80,,,80127000AC0020,,,,,,,,,,,,,0,,,,,P,prés,,,991,1.491039,50.030529
2023-432451,2023-01-06,000001,Vente,142300,11,,RUE DE L EGLISE,0061,80210,80603,Ochancourt,80,,,806030000B0477,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,954,1.612246,50.103866
2023-432452,2023-01-05,000001,Vente,500,,,RUE DE HAUT,0900,80100,80001,Abbeville,80,,,80001000AY0483,,,,,,,,,,,,,0,,,,,S,sols,,,16,1.8206,50.118799
2023-432453,2023-01-05,000001,Vente,5000,,,LES GDS CHAMPS,B053,80890,80205,Condé-Folie,80,,,802050000C0147,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1380,2.03857,49.995615
2023-432453,2023-01-05,000001,Vente,5000,,,LES GDS CHAMPS,B053,80890,80205,Condé-Folie,80,,,802050000C0148,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1380,2.038294,49.99544
2023-432453,2023-01-05,000001,Vente,5000,,,LES GDS CHAMPS,B053,80890,80205,Condé-Folie,80,,,802050000C0188,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3758,2.036448,49.994787
2023-432454,2023-01-06,000001,Vente,205500,7,,AV DU CAPITAINE N TCHORERE,0320,80270,80013,Airaines,80,,,80013000XA0027,,,,,,,,,,,,,0,1,Maison,220,9,S,sols,,,918,1.940459,49.967883
2023-432455,2023-01-10,000001,Vente,60000,,,COTES DU BOIS DE TERRAMESN,B040,80540,80554,Molliens-Dreuil,80,,,80554000AI0281,,,,,,,,,,,,,0,,,,,L,landes,,,4205,1.994032,49.865225
2023-432455,2023-01-10,000001,Vente,60000,,,LES COTES DU BOIS SEMERMES,B041,80540,80554,Molliens-Dreuil,80,,,80554000AI0287,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,11320,1.995363,49.865984
2023-432455,2023-01-10,000001,Vente,60000,,,LES COTES DU BOIS SEMERMES,B041,80540,80554,Molliens-Dreuil,80,,,80554000AI0289,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,8720,1.996302,49.866729
2023-432455,2023-01-10,000001,Vente,60000,,,LES COTES DU BOIS SEMERMES,B041,80540,80554,Molliens-Dreuil,80,,,80554000AI0291,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2753,1.995298,49.865028
2023-432455,2023-01-10,000001,Vente,60000,,,LES COTES DU BOIS SEMERMES,B041,80540,80554,Molliens-Dreuil,80,,,80554000AI0295,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,11345,1.997214,49.86663
2023-432455,2023-01-10,000001,Vente,60000,,,LES COTES DU BOIS SEMERMES,B041,80540,80554,Molliens-Dreuil,80,,,80554000AI0299,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1745,1.998024,49.866437
2023-432456,2023-01-06,000001,Vente,148000,,,MARAIS DE VAUX,B022,80340,80264,Éclusier-Vaux,80,,,80264000AB0004,,,,,,,,,,,,,0,,,,,J,jardins,,,128,2.79211,49.956524
2023-432456,2023-01-06,000001,Vente,148000,,,MARAIS DE VAUX,B022,80340,80264,Éclusier-Vaux,80,,,80264000AB0005,,,,,,,,,,,,,0,,,,,J,jardins,,,338,2.792132,49.956592
2023-432456,2023-01-06,000001,Vente,148000,,,MARAIS DE VAUX,B022,80340,80264,Éclusier-Vaux,80,,,80264000AB0006,,,,,,,,,,,,,0,,,,,J,jardins,,,562,2.792096,49.956691
2023-432456,2023-01-06,000001,Vente,148000,,,MARAIS DE VAUX,B022,80340,80264,Éclusier-Vaux,80,,,80264000AB0007,,,,,,,,,,,,,0,,,,,J,jardins,,,1029,2.791989,49.956892
2023-432456,2023-01-06,000001,Vente,148000,,,MARAIS DE VAUX,B022,80340,80264,Éclusier-Vaux,80,,,80264000AB0041,,,,,,,,,,,,,0,,,,,L,landes,,,121,2.791751,49.95602
2023-432456,2023-01-06,000001,Vente,148000,15,,RUE DE FARGNY,0023,80340,80264,Éclusier-Vaux,80,,,80264000AC0073,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,498,2.791884,49.955964
2023-432456,2023-01-06,000001,Vente,148000,15,,RUE DE FARGNY,0023,80340,80264,Éclusier-Vaux,80,,,80264000AC0073,,,,,,,,,,,,,0,1,Maison,74,2,S,sols,,,498,2.791884,49.955964
2023-432456,2023-01-06,000001,Vente,148000,,,VAUX,B032,80340,80264,Éclusier-Vaux,80,,,80264000AC0082,,,,,,,,,,,,,0,,,,,J,jardins,,,49,2.791859,49.95616
2023-432456,2023-01-06,000001,Vente,148000,,,VAUX,B032,80340,80264,Éclusier-Vaux,80,,,80264000AC0085,,,,,,,,,,,,,0,,,,,S,sols,,,72,2.791783,49.955863
2023-432457,2023-01-05,000001,Vente,150000,25,,RUE CHARLES DE GAULLE,0050,80310,80082,Belloy-sur-Somme,80,,,800820000C0381,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,267,2.129703,49.965416
2023-432457,2023-01-05,000001,Vente,150000,25,,RUE CHARLES DE GAULLE,0050,80310,80082,Belloy-sur-Somme,80,,,800820000C0381,,,,,,,,,,,,,0,1,Maison,111,5,S,sols,,,267,2.129703,49.965416
2023-432457,2023-01-05,000001,Vente,150000,,,LES PETITS ENCLOS,B048,80310,80082,Belloy-sur-Somme,80,,,800820000C0728,,,,,,,,,,,,,0,,,,,S,sols,,,433,2.129539,49.965267
2023-432458,2023-01-03,000001,Vente,63408,,,LA SOLE DU HARDICOURT,B042,80150,80248,Dompierre-sur-Authie,80,,,80248000ZE0026,,,,,,,,,,,,,0,,,,,T,terres,,,32380,1.901186,50.289992
2023-432458,2023-01-03,000001,Vente,63408,,,LE CAMP SAINT PIERRE,B008,80150,80248,Dompierre-sur-Authie,80,,,80248000ZI0062,,,,,,,,,,,,,0,,,,,T,terres,,,13640,1.905086,50.29701
2023-432458,2023-01-03,000001,Vente,63408,,,LE CAMP SAINT PIERRE,B008,80150,80248,Dompierre-sur-Authie,80,,,80248000ZI0062,,,,,,,,,,,,,0,,,,,T,terres,,,6820,1.905086,50.29701
2023-432459,2023-01-05,000001,Vente,170000,23,,RUE DE LA FOSSE AU LAIT,3440,80000,80021,Amiens,80,,,80021000HL0144,,,153,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.289536,49.885375
2023-432459,2023-01-05,000001,Vente,170000,15,,RUE DE LA FOSSE AU LAIT,3440,80000,80021,Amiens,80,,,80021000HL0144,,,427,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.289536,49.885375
2023-432459,2023-01-05,000001,Vente,170000,15,,RUE DE LA FOSSE AU LAIT,3440,80000,80021,Amiens,80,,,80021000HL0144,,,449,60,,,,,,,,,1,2,Appartement,61,3,,,,,,2.289536,49.885375
2023-432460,2023-01-06,000001,Vente,150000,7,,RUE 53 E RICMS,0510,80890,80205,Condé-Folie,80,,,802050000A0752,,,,,,,,,,,,,0,1,Maison,89,4,J,jardins,,,1325,2.012378,50.008431
2023-432460,2023-01-06,000001,Vente,150000,7,,RUE 53 E RICMS,0510,80890,80205,Condé-Folie,80,,,802050000A0752,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,375,2.012378,50.008431
2023-432461,2023-01-05,000001,Vente,136000,5,,RUE DES PETITS ENFANTS,0642,80700,80685,Roye,80,,,80685000AC0189,,,,,,,,,,,,,0,1,Maison,95,5,S,sols,,,600,2.780278,49.707632
2023-432462,2023-01-04,000001,Vente,190000,30,,AU GRE DU VENT,A146,80090,80021,Amiens,80,,,80021000DO0033,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,401,2.324152,49.871566
2023-432462,2023-01-04,000001,Vente,190000,30,,AU GRE DU VENT,A146,80090,80021,Amiens,80,,,80021000DO0033,,,,,,,,,,,,,0,1,Maison,78,5,S,sols,,,401,2.324152,49.871566
2023-432463,2023-01-07,000001,Vente,155300,6,,AV SAINT LOUIS,0958,80500,80561,Montdidier,80,,,80561000AO0215,,,,,,,,,,,,,0,1,Maison,79,4,S,sols,,,439,2.584444,49.65554
2023-432464,2023-01-04,000001,Vente,250000,2,,RUE ULPHE,0067,80440,80213,Cottenchy,80,,,802130000B0094,,,,,,,,,,,,,0,1,Maison,138,5,S,sols,,,1443,2.386219,49.812442
2023-432464,2023-01-04,000001,Vente,250000,2,,RUE ULPHE,0067,80440,80213,Cottenchy,80,,,802130000B0094,,,,,,,,,,,,,0,1,Maison,30,2,S,sols,,,1443,2.386219,49.812442
2023-432464,2023-01-04,000001,Vente,250000,2,,RUE ULPHE,0067,80440,80213,Cottenchy,80,,,802130000B0094,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1443,2.386219,49.812442
2023-432465,2023-01-06,000001,Vente,360500,32,,RUE DES AMBIANI,0010,80260,80661,Rainneville,80,,,80661000AC0163,,,,,,,,,,,,,0,1,Maison,117,4,S,sols,,,462,2.348807,49.969027
2023-432465,2023-01-06,000001,Vente,360500,,,LE CLOS,B009,80260,80661,Rainneville,80,,,80661000AC0208,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,2,2.348659,49.969038
2023-432466,2023-01-04,000001,Vente,110000,2,,RUE CHARLES MANGOT,0250,80500,80561,Montdidier,80,,,80561000AI0895,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,78,2.568663,49.64682
2023-432466,2023-01-04,000001,Vente,110000,2,,RUE CHARLES MANGOT,0250,80500,80561,Montdidier,80,,,80561000AI0895,,,,,,,,,,,,,0,1,Maison,109,4,S,sols,,,78,2.568663,49.64682
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,70,2.563249,49.635963
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,660,2.563249,49.635963
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,660,2.563249,49.635963
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,1,Maison,74,4,J,jardins,,,660,2.563249,49.635963
