"id_mutation","nature_mutation","valeur_fonciere","code_postal","type_local","surface_reelle_bati"
"2023-432445","Vente","163500","80580","Maison","85"
"2023-432446","Vente","190500","80480","Maison","59"
"2023-432447","Vente","365000","80000","Local industriel. commercial ou assimilé","392"
"2023-432447","Vente","365000","80000","Appartement","51"
"2023-432448","Vente","220000","80150","Maison","84"
"2023-432449","Vente","100000","80470","Maison","23"
"2023-432449","Vente","100000","80470","Maison","23"
"2023-432451","Vente","142300","80210","Maison","86"
"2023-432454","Vente","205500","80270","Maison","220"
"2023-432456","Vente","148000","80340","Maison","74"
"2023-432457","Vente","150000","80310","Maison","111"
"2023-432459","Vente","170000","80000","Appartement","61"
"2023-432460","Vente","150000","80890","Maison","89"
"2023-432460","Vente","150000","80890","Maison","89"
"2023-432461","Vente","136000","80700","Maison","95"
"2023-432462","Vente","190000","80090","Maison","78"
"2023-432463","Vente","155300","80500","Maison","79"
"2023-432464","Vente","250000","80440","Maison","138"
"2023-432464","Vente","250000","80440","Maison","30"
"2023-432465","Vente","360500","80260","Maison","117"
"2023-432466","Vente","110000","80500","Maison","109"
"2023-432467","Vente","135000","80500","Maison","74"
"2023-432467","Vente","135000","80500","Maison","74"
"2023-432468","Vente","221000","80132","Maison","103"
"2023-432468","Vente","221000","80132","Maison","103"
"2023-432469","Vente","273250","80090","Maison","91"
"2023-432470","Vente","155000","80550","Appartement","27"
"2023-432470","Vente","155000","80550","Appartement","29"
"2023-432470","Vente","155000","80550","Appartement","39"
"2023-432470","Vente","155000","80550","Appartement","37"
"2023-432470","Vente","155000","80550","Appartement","27"
"2023-432470","Vente","155000","80550","Appartement","25"
"2023-432470","Vente","155000","80550","Appartement","45"
"2023-432470","Vente","155000","80550","Appartement","37"
"2023-432470","Vente","155000","80550","Appartement","36"
"2023-432471","Vente","101175","80700","Maison","80"
"2023-432471","Vente","101175","80700","Maison","80"
"2023-432472","Vente","168300","80470","Maison","85"
"2023-432473","Vente","92000","80080","Appartement","69"
"2023-432475","Vente","255000","80132","Maison","105"
"2023-432476","Vente","65000","80300","Maison","48"
"2023-432478","Vente","56000","80080","Maison","61"
"2023-432479","Vente","231000","80480","Maison","135"
"2023-432480","Vente","236000","80000","Maison","79"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","260"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","240"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","420"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","115"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","458"
"2023-432481","Vente","7380000","80000","Local industriel. commercial ou assimilé","180"
"2023-432484","Vente","249000","80470","Maison","129"
